field	artifact	value
schema		taxonomy_source_index_integrity_v1
scope	database	downstream_coi_only
scope	source_mutation	none
scope	release_policy	none
scope	artifact_set_commit_marker	provenance_output_written_last
normalization	embedded_header_handling	split_for_comparison_only
normalization	canonical_record	greater_than_title_lf_uppercase_sequence_lf
coordinate	source_line	one_based
coordinate	source_byte_offset	zero_based
tool	blastdbcmd	blastdbcmd: 2.15.0+
count	source_lines	1585853
count	source_line_start_records	792926
count	source_line_start_unique_reference_ids	792925
count	analysis_split_logical_records	792927
count	analysis_split_unique_reference_ids	792926
count	analysis_split_total_bases	487737457
count	analysis_split_empty_records	1
count	embedded_header_candidates	1
count	legacy_index_records	791433
count	legacy_index_bases	485462968
count	line_start_prefix_sequence_characters	485463625
count	analysis_split_selected_bases	485462968
count	line_start_unindexed_records	1493
count	analysis_split_unindexed_records	1494
count	anomaly_rows	4
count	disposition_records_in_legacy_index	44
count	anomaly:duplicate_reference_id	1
count	anomaly:embedded_header_candidate	1
count	anomaly:empty_sequence_record	1
count	anomaly:line_oriented_index_sequence_mismatch	1
count	disposition:quarantine	29
count	disposition:retain	15
sha256	auditor_script	a24195dfc9b196be5acc66ba9f8547c17892ea7033af5f5079326e18dae3d0e8
sha256	source_fasta	d0a1ba27438f16843fdffcb4ed30e6e89369ed310f338ec73c1fa058dffe6741
sha256	legacy_reference_manifest	cf04ad3c0c3c0580bf9620ad9a26d4e77dddcf0ad8679b36b51b4c62753ad299
sha256	disposition_provenance	637e0a12e465500c61c49dc8af04774ac1f8acfbb918917b4a0c27d2ee8b6a70
sha256	disposition_manifest	ab75805caf97f7da3b352302ff331e8c85cdb66e878aa989d59d9e6173e8e748
sha256	anomaly_table	09207fbdba6d44d56bf2db5c9a562fca1f342ab3956a98e61c64a37ae6c208ab
sha256	analysis_split_selected_canonical_stream	cf474aa6924929890719626723d346b95c1af867c63a8ac6ce85ec643ffffc47
sha256	legacy_index_canonical_stream	cf474aa6924929890719626723d346b95c1af867c63a8ac6ce85ec643ffffc47
sha256	line_start_unindexed_canonical_stream	0c7f2f0da9ba9e89fbef837f4a3bcf81ca17dc68e091f6d00d6072c5f359f3a5
sha256	analysis_split_unindexed_canonical_stream	79e261dd94302ce2d20d783bf7cbb650a61303709d51b4da6e5d58d27feee42a
sha256	legacy_blast_component:db/COInr98_2024Jun_RioNegro_Brazil.ndb	6e5b8720162518bd92a5a273e9342072da448b86504ffc889393c2664aea698d
sha256	legacy_blast_component:db/COInr98_2024Jun_RioNegro_Brazil.nhr	2507698a7a1d7f74c5d1aa0156916ee04d88b58eacc5a1104352a576aef5fe3d
sha256	legacy_blast_component:db/COInr98_2024Jun_RioNegro_Brazil.nin	08ecd4c40708f3c4b4b233bf1b600c443db16224dd3f9ecb8dbf3cc6c66f7390
sha256	legacy_blast_component:db/COInr98_2024Jun_RioNegro_Brazil.njs	9f3aabe98f5316f59a2ebdc97ff90fcdab8e34af00c03744cf09c557d2868e4c
sha256	legacy_blast_component:db/COInr98_2024Jun_RioNegro_Brazil.not	8559af815c831ec8623ad2a6dce7b312f333b751d20e89269acc55c0b986efff
sha256	legacy_blast_component:db/COInr98_2024Jun_RioNegro_Brazil.nsq	742290831c56f20acc7fd319a668bd7a33fecd54b2d6309c656b35454333c5c1
sha256	legacy_blast_component:db/COInr98_2024Jun_RioNegro_Brazil.ntf	67982e4d7b1490b09cce06e7c29175c6bd011cd542cfacb1a1c310084a50821a
sha256	legacy_blast_component:db/COInr98_2024Jun_RioNegro_Brazil.nto	00b018440d5585c043b9570a6f2e53154f32618652ca40015068a3e21ee46537
