field	artifact	value
schema		taxonomy_reference_base_repair_policy_v1
policy	policy_id	downstream_coi_legacy_effective_base_v1
scope	database	downstream_coi_only
scope	records	whole_effective_legacy_index
scope	stage	policy_only
scope	source_mutation	none
scope	index_mutation	none
scope	runtime_activation	none
decision	base_authority	effective_legacy_blast_oid_stream
decision	base_membership	all_legacy_index_oids
decision	record_identity	legacy_index_oid
decision	record_order	legacy_index_oid_ascending
decision	retained_relative_order	preserve_legacy_oid_relative_order
decision	oid_serialization	omitted
decision	future_oid_stability	not_guaranteed
decision	title_content	preserve_complete_legacy_index_title
decision	sequence_content	preserve_uppercase_legacy_index_sequence
decision	implicit_deduplication	none
decision	canonical_serialization	greater_than_title_lf_uppercase_sequence_lf
decision	raw_fasta_slice	forbidden
decision	raw_fasta_role	integrity_verification_only
decision	population:analysis_split_unindexed_records	defer_not_admitted
decision	population:line_start_unindexed_records	defer_not_admitted
decision	anomaly:embedded_header_candidate	defer_not_admitted
decision	anomaly:line_oriented_index_sequence_mismatch	select_index_representation
decision	anomaly:duplicate_reference_id	defer_not_admitted
decision	anomaly:empty_sequence_record	defer_not_admitted
decision	raw_source_repair	none
decision	expanded_source_admission	none
decision	disposition_match_identity	reference_id_stored_taxid_sequence_sha256
decision	reference_id_normalization	first_whitespace_token_before_first_pipe
decision	stored_taxid_extraction	signed_kraken_taxid_token
decision	sequence_sha256_content	uppercase_ascii_sequence
decision	canonical_encoding	utf8_lf
decision	disposition:quarantine	exclude_matching_base_record
decision	disposition:retain	retain_matching_base_record
decision	nonlisted_base_records	retain_unmodified
decision	post_filter_order	preserve_relative_legacy_oid_order
decision	disposition_application	future_canonical_fasta_build
decision	canonical_fasta_build	deferred
decision	blast_index_build	deferred
decision	projected_canonical_bases	not_computed
decision	projected_canonical_stream_sha256	not_computed
decision	state_identity	new_reference_identity_required_before_activation
decision	legacy_state_reuse	forbidden
decision	corrected_benchmark	deferred
count	base_records	791433
count	base_bases	485462968
count	legacy_oid_first	0
count	legacy_oid_last	791432
count	line_start_unindexed_records	1493
count	analysis_split_unindexed_records	1494
count	analysis_split_unindexed_bases	2274489
count	embedded_header_candidates	1
count	anomaly_rows	4
count	disposition_records_in_base	44
count	disposition:quarantine	29
count	disposition:retain	15
count	nonlisted_base_records	791389
count	projected_canonical_records	791404
sha256	validator_script	98789a4d97654924e01c18ffe8eedfb7eaf1a238ebea08b377436a6226ef5076
sha256	source_integrity_anomalies	09207fbdba6d44d56bf2db5c9a562fca1f342ab3956a98e61c64a37ae6c208ab
sha256	source_integrity_provenance	a2aa34a16a8a6fe6e55dc9ad42ac9c02267640621ac7cef2eb42e5ca07334975
sha256	disposition_manifest	ab75805caf97f7da3b352302ff331e8c85cdb66e878aa989d59d9e6173e8e748
sha256	disposition_provenance	637e0a12e465500c61c49dc8af04774ac1f8acfbb918917b4a0c27d2ee8b6a70
sha256	legacy_reference_manifest	cf04ad3c0c3c0580bf9620ad9a26d4e77dddcf0ad8679b36b51b4c62753ad299
sha256	source_fasta	d0a1ba27438f16843fdffcb4ed30e6e89369ed310f338ec73c1fa058dffe6741
sha256	selected_base_canonical_stream	cf474aa6924929890719626723d346b95c1af867c63a8ac6ce85ec643ffffc47
sha256	deferred_line_start_canonical_stream	0c7f2f0da9ba9e89fbef837f4a3bcf81ca17dc68e091f6d00d6072c5f359f3a5
sha256	deferred_analysis_split_canonical_stream	79e261dd94302ce2d20d783bf7cbb650a61303709d51b4da6e5d58d27feee42a
