field	artifact	value
schema		taxonomy_reference_disposition_v1
scope	database	downstream_coi_only
scope	records	corrected_coi_v1_exclusion_set_only
scope	nonlisted_source_records	retain_unmodified
scope	source_snapshot	shipped_full_fasta_observation_only
scope	canonical_base_snapshot	undecided
scope	artifact_set_commit_marker	provenance_output_written_last
policy	policy_id	coi_canonical_correctness_first_v1
count	source_fasta_records	792926
count	source_fasta_unique_reference_ids	792925
count	source_fasta_duplicate_reference_ids	1
count	source_fasta_empty_records	1
count	source_fasta_missing_taxid_records	0
count	all_disposition_records	44
count	quarantine_records	44
count	retain_records	0
count	confirmed_reference_sequence_contamination	5
count	cross_family_sequence_label_conflict_candidate	24
count	confirmed_non_coi_marker	15
count	quarantine_taxids_losing_all_source_records	3
count	quarantine_unique_sequence_hashes	42
count	quarantine_sequence_hashes_losing_all_source_records	42
sha256	corrected_disposition_builder_script	0bc155a7c4f7131802c34c84c88458c9c4974207b90fa7c8c9a8728046e4befc
sha256	base_quarantine	ce225d0648f4af9c7af75e718c04a5ba61e98b48e122b614b4415a0968e47a92
sha256	marker_scope_audit	2adbb531b869ad5c94d171a509dd98f00471ca8817669552eedcb5bd9b0df6eb
sha256	release_policy	5ada7882d55cf0c5e5bf350694bf0c62702597ba6513691346f4b4365eeea484
sha256	reference_source_fasta	d0a1ba27438f16843fdffcb4ed30e6e89369ed310f338ec73c1fa058dffe6741
sha256	disposition_manifest	afa171b8b2a767dd0fcdf411909596904b57ac983527d7b7ba2909898c69a356
sha256	quarantine_projection	afa171b8b2a767dd0fcdf411909596904b57ac983527d7b7ba2909898c69a356
