legacy_oid	reference_id	stored_taxid	reference_sequence_sha256	sequence_length
39990	BOLD_COI-5P_FINCO004-20	370032	4334a72d36c59f3d608d76fb572883b513975fcf4d3fe9ee66950d9952479e84	645
40148	BOLD_COI-5P_DTNHM4263-22	986713	ddcc0ca4a37051626221ae383e294f6feec15acaccd30b92ec3cff911db1826a	706
80414	BOLD_COI-5P_GBCL13905-12	110188	5f4e81daade8b5edcfd1dbd50c6f09e251b66e084dff3c375c789677c95897dd	663
106396	BOLD_COI-5P_BCHYM14962-16	1119410	183d3d919384f7b811cb7917c70469611317d3e334d4cf4ed0f2963972b1cff0	658
106397	BOLD_COI-5P_BCHYM14998-16	272237	183d3d919384f7b811cb7917c70469611317d3e334d4cf4ed0f2963972b1cff0	658
106398	BOLD_COI-5P_CRCEC47168-22	-9850	a75eb61ed9d37f4630cb14662a7acd9b618ada8175b19c137057af0cb5698465	653
106399	BOLD_COI-5P_MYPOM562-20	88467	3122b445ec0056431a13d70bf1256d6748b491e12d4ba1b4b7dabf01f406e04e	658
106400	BOLD_COI-5P_NZHYM2541-15	55939	21f15ecab3f3d5a5b860254832d8758033c293f54a1be1fcbbbc3d98191d0c01	658
106401	BOLD_COI-5P_BCHYM14932-16	1119366	4d767e104ac2bc15a9bc47a0a847b01232c5768dcc4143cce319106cabedd100	658
106402	BOLD_COI-5P_BCHYM14955-16	405267	3122b445ec0056431a13d70bf1256d6748b491e12d4ba1b4b7dabf01f406e04e	658
204122	BOLD_COI-5P_FHDER125-16	3039717	4661defbaede620b7b2cf1312aa5995447202009b661071ec9bd001a858ff38d	658
250812	BOLD_COI-5P_MYPOM476-20	88467	9c0059ac3188e8c5ba91f44b328a0565a51bae0c5613c99892b3e9f1bccba6e9	632
329699	BOLD_COI-5P_GBA29544-17	1717526	58c7d5dfafcad8d19d59dffaf0b53ff0d56f5630098719ed61e43569273ff1a6	658
420629	BOLD_COI-5P_GBAH20470-19	297369	bc8e6298fb7b4f3f7536266bb5f98e7eeb4cd084840cfeeb32475d99aab2176e	653
420764	BOLD_COI-5P_GMODL3842-22	30092	11a02d98252a48e310767bed4eff8da6ef8f2e4548d769b8fb7e319be14710cc	653
436676	BOLD_COI-5P_ISUP118-14	-2704	9bd2cfd4e3066395d63d11f7130e39e8dccb5db4de2157493bfff01395d16036	652
438071	BOLD_COI-5P_MHMYM4251-14	299348	c0a76bff087f9b3efc60fad6ba4eba13f18de2b594134cb6222c57f96fba8a5d	652
444512	BOLD_COI-5P_KUGLA3039-22	81835	cd8e9e0432fb128942e07e1f13978ab1e89d78f7310464e9581598da2413fd71	652
444513	BOLD_COI-5P_KUGLA1303-22	81835	85ee34a12d65987bc7f062acd39269accd599130ccf5c85a2044c0c0da5457f2	652
449256	BOLD_COI-5P_KUGLA2446-22	29026	724906830a323d7581cb6213b35c6f949b2cbcdeb2f0500012d3b68a8db36a3d	651
471526	BOLD_COI-5P_GBCL13897-12	414942	e412c8369f2239d79abb0fb29ef61db9b3004040b8ffdf6cbf164cf34f6a58ea	647
487267	BOLD_COI-5P_DTIII5536-22	1763974	ae1e58fb3735fe71ab816d68474cfd7780ee9d462a017ed454e4991ec8bb5e98	642
571839	BOLD_COI-5P_CHOLE080-10	651982	05b70915404166085c7741e06d65d29d81d5c8f25fb0a71e8cfb967f68a016e4	600
577576	BOLD_COI-3P_GBMND5773-21	491317	3724762ff7f96ecf1023370763e8a8c8de940b401c60c7d3bbac9a78f150eaef	595
609840	BOLD_COI-5P_ASQIC504-09	65272	a071b285b2a4ce552d55e719340b935128448d624ae78266c6c9922c5e2d26a1	587
613844	BOLD_COI-5P_CNEIB017-12	232805	331f48f47fc6021f4baff15cf818b662180fa7ea7c757ddf9de0ca3e5e879c55	584
665686	BOLD_COI-3P_GBMHH21026-19	650448	8ebf55e72f9a60d5577172adad3d1ccead1f8666b9cb17cb083c5215e132746a	538
689297	BOLD_COI-5P_GBMIN70259-17	1920869	df616be472b2d8d6e053bd1fd42a82cc60f3c9986325da64afe5800b254ee34b	472
690786	BOLD_COI-5P_GBMHH30183-19	2218150	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	470
