reference_id	reference_sequence_sha256	stored_taxid	header_kingdom	header_lineage	source_taxid_record_count	post_policy_taxid_record_count	source_exact_sequence_record_count	post_policy_exact_sequence_record_count	source_tier	source_status	evidence_class	evidence_source	supporting_reference_id	supporting_reference_role	release_action	decision_basis	policy_id	notes
BOLD_COI-3P_GBMHH21026-19	8ebf55e72f9a60d5577172adad3d1ccead1f8666b9cb17cb083c5215e132746a	650448	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Delphacidae;g__Euides;s__Euides_speciosa	1	0	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-3P_GBMND5773-21	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-3P_GBMND5773-21	3724762ff7f96ecf1023370763e8a8c8de940b401c60c7d3bbac9a78f150eaef	491317	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cixiidae;g__Haplaxius;s__Haplaxius_skarphion	2	1	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-3P_GBMHH21026-19	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_ASQIC504-09	a071b285b2a4ce552d55e719340b935128448d624ae78266c6c9922c5e2d26a1	65272	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ichneumonidae;g__Lissonota;s__	51	50	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_BCHYM14955-16	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_BCHYM14932-16	4d767e104ac2bc15a9bc47a0a847b01232c5768dcc4143cce319106cabedd100	1119366	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Chalcididae;g__Aspirrhina;s__	1	0	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_MYPOM562-20	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_BCHYM14955-16	3122b445ec0056431a13d70bf1256d6748b491e12d4ba1b4b7dabf01f406e04e	405267	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Chalcididae;g__Dirhinus;s__	12	11	2	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_MYPOM562-20	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_BCHYM14962-16	183d3d919384f7b811cb7917c70469611317d3e334d4cf4ed0f2963972b1cff0	1119410	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Chalcididae;g__Haltichella;s__	3	2	2	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_MYPOM562-20	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_BCHYM14998-16	183d3d919384f7b811cb7917c70469611317d3e334d4cf4ed0f2963972b1cff0	272237	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Chalcididae;g__Conura;s__	70	69	2	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_MYPOM562-20	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_CHOLE080-10	05b70915404166085c7741e06d65d29d81d5c8f25fb0a71e8cfb967f68a016e4	651982	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Leiodidae;g__Catops;s__Catops_coracinus	7	6	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_DTIII5536-22	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_CNEIB017-12	331f48f47fc6021f4baff15cf818b662180fa7ea7c757ddf9de0ca3e5e879c55	232805	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Colletidae;g__Hylaeus;s__Hylaeus_modestus	6	5	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_ASQIC504-09	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_CRCEC47168-22	a75eb61ed9d37f4630cb14662a7acd9b618ada8175b19c137057af0cb5698465	-9850	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae;g__Trophithauma;s__Trophithauma_portentum	3	2	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_BCHYM14955-16	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
