reference_id	reference_sequence_sha256	stored_taxid	header_kingdom	header_lineage	source_taxid_record_count	post_policy_taxid_record_count	source_exact_sequence_record_count	post_policy_exact_sequence_record_count	source_tier	source_status	evidence_class	evidence_source	supporting_reference_id	supporting_reference_role	release_action	decision_basis	policy_id	notes
BOLD_COI-3P_GBMHH21026-19	8ebf55e72f9a60d5577172adad3d1ccead1f8666b9cb17cb083c5215e132746a	650448	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Delphacidae;g__Euides;s__Euides_speciosa	1	0	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-3P_GBMND5773-21	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-3P_GBMND5773-21	3724762ff7f96ecf1023370763e8a8c8de940b401c60c7d3bbac9a78f150eaef	491317	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cixiidae;g__Haplaxius;s__Haplaxius_skarphion	2	1	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-3P_GBMHH21026-19	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_ASINH019-12	c174e776601f2ead39355d2cc047f7458f27e781b13bc074892d77e64c314fe0	203808	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Apidae;g__Bombus;s__Bombus_digressus	3	3	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_ASQIC504-09	a071b285b2a4ce552d55e719340b935128448d624ae78266c6c9922c5e2d26a1	65272	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ichneumonidae;g__Lissonota;s__	51	50	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_BCHYM14955-16	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_BCHYM14932-16	4d767e104ac2bc15a9bc47a0a847b01232c5768dcc4143cce319106cabedd100	1119366	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Chalcididae;g__Aspirrhina;s__	1	0	1	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_MYPOM562-20	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_BCHYM14955-16	3122b445ec0056431a13d70bf1256d6748b491e12d4ba1b4b7dabf01f406e04e	405267	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Chalcididae;g__Dirhinus;s__	12	11	2	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_MYPOM562-20	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_BCHYM14962-16	183d3d919384f7b811cb7917c70469611317d3e334d4cf4ed0f2963972b1cff0	1119410	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Chalcididae;g__Haltichella;s__	3	2	2	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_MYPOM562-20	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_BCHYM14998-16	183d3d919384f7b811cb7917c70469611317d3e334d4cf4ed0f2963972b1cff0	272237	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Chalcididae;g__Conura;s__	70	69	2	0	review	cross_family_sequence_label_conflict_candidate	cross_family_sequence_label_conflict_candidate	lower_tier_adjudication	BOLD_COI-5P_MYPOM562-20	review_candidate	quarantine	correctness_first_conservative_conflict_exclusion	chain_a_downstream_coi_correctness_first_v1	Cross-family sequence/label conflict; release action is an explicit policy choice and does not assert bacterial origin or which endpoint is wrong
BOLD_COI-5P_BETN15653-23	5d46ac6bfa057bb72a396200d76add13ef6ecc6abe2844a15e0318242a7fce7d	-2668	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Cyclotrachelus;s__Cyclotrachelus_freitagi	3	3	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_BLPAA19055-20	b73e511c34ec207c419db6fbb46f8b2bb79721cbb312e866015e9c7253262711	82588	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Saturniidae;g__Automeris;s__	3	3	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
