reference_id	reference_sequence_sha256	stored_taxid	header_kingdom	header_lineage	source_taxid_record_count	post_policy_taxid_record_count	source_exact_sequence_record_count	post_policy_exact_sequence_record_count	source_tier	source_status	evidence_class	evidence_source	supporting_reference_id	supporting_reference_role	release_action	decision_basis	policy_id	notes
BOLD_COI-5P_ASINH019-12	c174e776601f2ead39355d2cc047f7458f27e781b13bc074892d77e64c314fe0	203808	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Apidae;g__Bombus;s__Bombus_digressus	3	3	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_BETN15653-23	5d46ac6bfa057bb72a396200d76add13ef6ecc6abe2844a15e0318242a7fce7d	-2668	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Cyclotrachelus;s__Cyclotrachelus_freitagi	3	3	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_BLPAA19055-20	b73e511c34ec207c419db6fbb46f8b2bb79721cbb312e866015e9c7253262711	82588	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Saturniidae;g__Automeris;s__	3	3	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_BMBFM083-18	d3762135240d044bf2d3fbf623859178bec27d45d0ff0f960f80e8079f73504f	201906	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Dryophthorus;s__	7	7	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_BMBFM158-19	a1af8c920e107498dfc2052991b926da8d690aad367bbfe1e84a13ce8e2e22d3	135865	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Atheta;s__	37	37	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_CNCHA1255-11	752d135ce86e407fd62f66d91321b83b5f1ff991e70fe8540cceb74e0b586bd4	1511244	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Pentatomidae;g__Picromerus;s__Picromerus_bidens	3	3	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_CNJAC356-12	d880cfee01ce608cc481047adbe6ea9f162fafdaec0eb98ffd112a52802659b3	33406	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae;g__;s__	52819	52819	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_CNKJH378-14	3971d088b478296616b55dfe75bfe4e0ce00b86639409a86f3aae12bb00a07ad	33406	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae;g__;s__	52819	52819	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_GMARL1332-14	46402d11288950271b062a1691f4697e58b57804bc1c88134fed9a1091d1f73f	29035	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae;g__;s__	2108	2108	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_JMAAC023-10	21d8995ded49810a5171890cf4f69da656886db62a353151b279acc643e6aef0	27482	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae;g__;s__	125	125	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
BOLD_COI-5P_NZIND358-22	2e30eaad9563d7dd398329579031065debe285a7131361716675933e186337c8	-5712	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Ptiliidae;g__Notoptenidium;s__	1	1	1	1	review	unresolved_insufficient_local_discriminator	unresolved_insufficient_local_discriminator	lower_tier_adjudication			retain	preserve_uncertainty	chain_a_downstream_coi_correctness_first_v1	Insufficient local discriminator; retained without assigning a clean or contaminated biological conclusion
