legacy_oid	canonical_v1_oid	reference_id	stored_taxid	declared_marker	sequence_length	reference_sequence_sha256	evidence_accession	evidence_feature	evidence_interval	alignment_identity_percent	alignment_coverage_percent	disposition
5	5	BOLD_ND5-0_GBMTG4784-16	27642	ND5	1818	77146e3135cb994a466c162c9ed46eb1f3b5c814740d59c31caae2ea5abf8447	NC_022420.1	ND5	11757..13577	100.000	100	exclude_non_coi
1613	1613	BOLD_ND4_GBMTG4784-16	27642	ND4	1375	8812440f98002aa6e38f40691f16cb9cb8b667780b89b3140351bade038b055b	NC_022420.1	ND4	10180..11557	100.000	100	exclude_non_coi
4093	4093	BOLD_CYTB_CYTC2024-12	9606	CYTB	1138	5be88954522cae5044c96e9f29c699d36b39e1ac7c8f94f004f2ac4ba86eef0f	NC_012920.1	CYTB	14747..15887	99.649	100	exclude_non_coi
4104	4104	BOLD_CYTB_GBMTG4784-16	27642	CYTB	1137	3a206f0cd22e96ccb2057e116b5ff680409c9d9fa98d00312fbbfe6ff49c4004	NC_022420.1	CYTB	14167..15306	100.000	100	exclude_non_coi
4939	4939	BOLD_ND2_GBMTG4784-16	27642	ND2	1041	43c4707cc7b65a38bcf49f3a3ba713c858e8d535d4f8f706b3f801ecb96c9605	NC_022420.1	ND2	3913..4956	100.000	100	exclude_non_coi
6627	6627	BOLD_ND1_GBMTG4784-16	27642	ND1	954	bc67ad7a023800f0dbcb171746a4a84bc50d3dd02e8158c0d3776cc261855c22	NC_022420.1	ND1	2750..3706	100.000	100	exclude_non_coi
25155	25155	BOLD_COXIII_GBMTG4784-16	27642	COXIII	782	0a13cd321bcde98bd2f7c0170e65e53e440fb369ded0008a37c304f5f4968ad3	NC_022420.1	COX3	8622..9406	100.000	100	exclude_non_coi
25328	25328	BOLD_COXIII_CYTC2024-12	9606	COXIII	781	e48b8c5dc34ed8c381b75d82d9887cb74e524df1026ad57a965670434df45042	NC_012920.1	COX3	9207..9990	99.744	100	exclude_non_coi
55500	55498	BOLD_COII_GBMTG4784-16	27642	COII	681	bd3f50f683e8ca8b9c62165ebe56922390cbd19f05e54e0184a04d1ae9d6914e	NC_022420.1	COX2	7026..7709	100.000	100	exclude_non_coi
59091	59089	BOLD_atp6_CYTC2024-12	9606	ATP6	678	6c5677b62d7f9eb1301cc0a302ddae13f7885f8c44bfe26a2c8bef6c09ff187e	NC_012920.1	ATP6	8527..9207	99.705	100	exclude_non_coi
61970	61968	BOLD_COII_CYTC2024-12	9606	COII	676	0bc9f2f041e7e056c81e0f1955b04394d3692e1469f60539d2365ad111b807b8	NC_012920.1	COX2	7586..8269	100.000	100	exclude_non_coi
671918	671891	BOLD_ND6_GBMTG4784-16	27642	ND6	525	2224f307c9c20cebe54752a5d7b1a8f54bfce85537b05c1a31330355c297bfcd	NC_022420.1	ND6	complement(13561..14088)	100.000	100	exclude_non_coi
761738	761709	BOLD_ND3_GBMTG4784-16	27642	ND3	344	f5b18af44e5e382e7aff6d99c387eaaeb5e4189e41350b6d7f6d009aaaa08726	NC_022420.1	ND3	9475..9821	100.000	100	exclude_non_coi
783280	783251	BOLD_ND4L_GBMTG4784-16	27642	ND4L	294	38486fcd01abf0477ce74a5df29dc45e73c6bb90c162aa0fe9bbf8cfb2717778	NC_022420.1	ND4L	9890..10186	100.000	100	exclude_non_coi
786583	786554	BOLD_28S_BCIFO566-13	612295	28S	241	3639971cd78f667af7f40f3dd8d8c0ae7e6bd10da3c4a22190c1494f0735849b	MK642776.1	28S_rRNA	1..241	100.000	100	exclude_non_coi
